"rewardDate","validator","validatorName","startEpoch","endEpoch","epochRange","epochsInDay","previousDayRewards","endOfDayRewards","dailyRewards","usd","gbp","eur","jpy","cny","inr","aud","krw"
"2022-01-02","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5736","5766","5736-5766","31","6218.629752918976","6245.034326763474","26.404573844498373","0.2636851612903226","0.19487116129032256","0.2318415806451613","30.352258064516132","1.6758064516129028","19.648709677419358","0.36295793548387095",""
"2022-01-03","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5767","5807","5767-5807","41","6245.034326763474","6279.999570247994","34.965243484519306","0.2538579512195122","0.1881118536585366","0.22405958536585363","29.25756097560976","1.6134146341463416","18.886585365853662","0.3511543658536585",""
"2022-01-04","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5808","5847","5808-5847","39","6279.999570247994","6314.1162853766145","34.116715128620854","0.25099312820512815","0.18589130769230772","0.2222498205128205","29.1","1.5953846153846158","18.709999999999997","0.3477674358974359",""
"2022-01-05","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5848","5888","5848-5888","41","6314.1162853766145","6349.084769941532","34.96848456491716","0.24178858536585368","0.1784916341463415","0.21380419512195126","28.03878048780487","1.5360975609756098","17.992682926829268","0.3338713658536586",""
"2022-01-06","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5889","5929","5889-5929","24","6349.084769941532","6384.02311801957","34.93834807803796","0.23027537500000003","0.17010404166666662","0.20371337499999997","26.68291666666667","1.4691666666666665","17.137916666666666","0.3208231666666666",""
"2022-01-07","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5930","5969","5930-5969","40","6384.02311801957","6415.242272368967","31.219154349397286","0.22341795000000006","0.16477922499999997","0.19734307499999998","25.866000000000003","1.4249999999999996","16.601000000000003","0.31179155",""
"2022-01-08","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","5970","6010","5970-6010","41","6415.242272368967","6441.318393397436","26.07612102846906","0.20939297560975614","0.1540639512195122","0.1843018536585366","24.199024390243903","1.3353658536585369","15.547317073170737","0.29158651219512194",""
"2022-01-09","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6011","6049","6011-6049","39","6441.318393397436","6466.11408664209","24.795693244654103","0.2105065641025641","0.1549238717948718","0.1853069743589743","24.332820512820515","1.3420512820512822","15.627692307692309","0.2931376666666667",""
"2022-01-10","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6050","6089","6050-6089","40","6466.11408664209","6491.525684572858","25.41159793076804","0.21321292500000003","0.15702650000000004","0.18819142499999994","24.619750000000003","1.359","15.798750000000002","0.29689424999999997",""
"2022-01-11","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6090","6129","6090-6129","40","6491.525684572858","6516.903813492419","25.378128919561277","0.211729","0.15564800000000004","0.18660087500000005","24.425999999999995","1.3490000000000004","15.646499999999998","0.2944687",""
