rewardDate,validator,validatorName,startEpoch,endEpoch,epochRange,epochsInDay,previousDayRewards,endOfDayRewards,dailyRewards,rewardCurrency
2022-04-09 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10027,10081,10027-10081,54,8865.279577956215,8901.564635604998,36.28505764878355,EXRD
2022-04-10 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10082,10136,10082-10136,45,1807.0496302491665,1826.4954053917245,19.445775142557977,EXRD
2022-04-10 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10082,10136,10082-10136,45,1104.4392418734533,1117.0289330756023,12.58969120214897,EXRD
2022-04-10 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10082,10136,10082-10136,45,9062.978333317937,9099.350148437152,36.37181511921517,EXRD
2022-04-10 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10082,10136,10082-10136,45,5848.70641377155,5872.022646968537,23.316233196987014,EXRD
2022-04-10 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10082,10136,10082-10136,45,800.5147169382326,813.996201878068,13.481484939835354,EXRD
2022-04-10 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10082,10136,10082-10136,45,1350.9413877929935,1350.941387973652,1.8065838958136737e-7,EXRD
2022-04-10 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10082,10136,10082-10136,45,2243.174892325944,2267.6994153309715,24.52452300502773,EXRD
2022-04-10 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10082,10136,10082-10136,45,8901.564635604998,8937.896648153066,36.33201254806772,EXRD
2022-04-11 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10137,10192,10137-10192,56,1826.4954053917245,1846.3556000034441,19.860194611719635,EXRD
